Date,Radius,Location,Query,TotalResults
7/19/2015,50,"Denver, CO",java,1283
7/19/2015,25,"Denver, CO",machine learning,157
7/19/2015,50,"Denver, CO",machine learning,179
7/19/2015,25,"Austin, TX",C#,565
7/19/2015,50,"Austin, TX",C#,580
7/19/2015,25,"Austin, TX",C# mvc,158
7/19/2015,50,"Austin, TX",C# mvc,160
7/19/2015,25,"Austin, TX",C# mvc angular,15
7/19/2015,50,"Austin, TX",C# mvc angular,15
7/19/2015,25,"Austin, TX",angular,193
7/19/2015,50,"Austin, TX",angular,196
7/19/2015,25,"Austin, TX",scala,62
7/19/2015,50,"Austin, TX",scala,62
7/19/2015,25,"Austin, TX",python,810
7/19/2015,50,"Austin, TX",python,813
7/19/2015,25,"Austin, TX",C++,539
7/19/2015,50,"Austin, TX",C++,544
7/19/2015,25,"Austin, TX",java,1262
7/19/2015,50,"Austin, TX",java,1270
7/19/2015,25,"Austin, TX",machine learning,115
7/19/2015,50,"Austin, TX",machine learning,119
7/19/2015,25,"Hartford, CT",C#,191
7/19/2015,50,"Hartford, CT",C#,268
7/19/2015,25,"Hartford, CT",C# mvc,42
7/19/2015,50,"Hartford, CT",C# mvc,62
7/19/2015,25,"Hartford, CT",C# mvc angular,5
7/19/2015,50,"Hartford, CT",C# mvc angular,6
7/19/2015,25,"Hartford, CT",angular,28
7/19/2015,50,"Hartford, CT",angular,39
7/19/2015,25,"Hartford, CT",scala,14
7/19/2015,50,"Hartford, CT",scala,17
7/19/2015,25,"Hartford, CT",python,100
7/19/2015,50,"Hartford, CT",python,148
7/19/2015,25,"Hartford, CT",C++,75
7/19/2015,50,"Hartford, CT",C++,134
7/19/2015,25,"Hartford, CT",java,328
7/19/2015,50,"Hartford, CT",java,489
7/19/2015,25,"Hartford, CT",machine learning,58
7/19/2015,50,"Hartford, CT",machine learning,84
7/19/2015,25,"Boston, MA",C#,1336
7/19/2015,50,"Boston, MA",C#,1501
7/19/2015,25,"Boston, MA",C# mvc,272
7/19/2015,50,"Boston, MA",C# mvc,302
7/19/2015,25,"Boston, MA",C# mvc angular,25
7/19/2015,50,"Boston, MA",C# mvc angular,28
7/19/2015,25,"Boston, MA",angular,437
7/19/2015,50,"Boston, MA",angular,488
7/19/2015,25,"Boston, MA",scala,226
7/19/2015,50,"Boston, MA",scala,236
7/19/2015,25,"Boston, MA",python,2033
7/19/2015,50,"Boston, MA",python,2239
7/19/2015,25,"Boston, MA",C++,1576
7/19/2015,50,"Boston, MA",C++,1850
7/19/2015,25,"Boston, MA",java,3427
7/19/2015,50,"Boston, MA",java,3829
7/19/2015,25,"Boston, MA",machine learning,592
7/19/2015,50,"Boston, MA",machine learning,689
7/19/2015,25,"San Francisco, CA",C#,955
7/19/2015,50,"San Francisco, CA",C#,1731
7/19/2015,25,"San Francisco, CA",C# mvc,155
7/19/2015,50,"San Francisco, CA",C# mvc,250
7/19/2015,25,"San Francisco, CA",C# mvc angular,35
7/19/2015,50,"San Francisco, CA",C# mvc angular,53
7/19/2015,25,"San Francisco, CA",angular,670
7/19/2015,50,"San Francisco, CA",angular,1191
7/19/2015,25,"San Francisco, CA",scala,609
7/19/2015,50,"San Francisco, CA",scala,984
7/19/2015,25,"San Francisco, CA",python,3741
7/19/2015,50,"San Francisco, CA",python,8159
7/19/2015,25,"San Francisco, CA",C++,1750
7/19/2015,50,"San Francisco, CA",C++,4974
7/19/2015,25,"San Francisco, CA",java,5085
7/19/2015,50,"San Francisco, CA",java,10101
7/19/2015,25,"San Francisco, CA",machine learning,1062
7/19/2015,50,"San Francisco, CA",machine learning,1940
7/19/2015,25,"Columbus, OH",C#,261
7/19/2015,50,"Columbus, OH",C#,275
